"","rfpreds$predictions"
"Gabriel Hjertstedt",105.315033333333
"Bo Hoag",49.9015333333334
"Scott Hoch",47.3312
"Charley Hoffman",47.5679333333333
"Morgan Hoffmann",81.1473666666666
"Tom Hoge",57.6158666666667
"J.B. Holmes",82.0022666666667
"Max Homa",47.0975
"Billy Horschel",47.9468
"Beau Hossler",72.9507666666667
"Viktor Hovland",34.2745333333333
"David Howell",60.1093666666667
"Charles Howell III",53.6586
"Mark Hubbard",52.3379333333334
"Mackenzie Hughes",49.3165333333333
"John Huh",60.1959666666667
"Mike Hulbert",112.4842
"Billy Hurley III",69.6718666666667
"John Huston",78.97
"Yuta Ikeda",68.7345
"Mikko Ilonen",57.8636
"Sungjae Im",34.3332666666667
"Ryuji Imada",96.8382
"Shugo Imahira",66.6544333333333
"Trevor Immelman",63.4831333333333
"Joe Inman",79.4081
"John Inman",92.3111999999999
"Hale Irwin",66.3449
"Don Iverson",84.5821333333334
"Tony Jacklin",82.4740333333333
"Tommy Jacobs",82.8737333333333
"Peter Jacobsen",74.8571
"Freddie Jacobson",82.0553999999999
"Barry Jaeckel",119.142733333333
"Jazz Janewattananond",62.3472333333333
"Don January",77.5553666666667
"Lee Janzen",72.4598
"Tom Jenkins",89.2843333333333
"Yeon Jin Jeong",81.4802333333333
"Brandt Jobe",70.3110333333334
"Dustin Johnson",29.2061666666667
"Richard Johnson",77.4596333333333
"Zach Johnson",59.7468
"Al Johnston",36.1564129237606
"Bill Johnston",82.3366
"Brendan Jones",85.1258666666667
"Grier Jones",80.3956333333333
"Kent Jones",70.8323666666666
"Matt Jones",51.6605666666667
"Steve Jones",96.3876
"Sung Kang",73.2674
"Richie Karl",86.7571666666667
"Rikard Karlberg",66.5051333333334
"Smylie Kaufman",92.7322666666667
"Jonathan Kaye",77.4116
"Martin Kaymer",66.9752666666667
"Jerry Kelly",69.1772333333333
"Troy Kelly",88.3381333333334
"Skip Kendall",100.339266666667
"Anthony Kim",84.8371
"Chan Kim",44.5712333333334
"Hyung-Sung Kim",84.4752333333333
"K.T. Kim",57.5388
"Michael Kim",67.4596
"Si Woo Kim",55.9584666666666
"Chris Kirk",46.6107
"Kevin Kisner",53.0186333333334
"Tom Kite",95.4256333333333
"Patton Kizzire",49.9788666666667
"Søren Kjeldsen",52.8669333333333
"Colt Knost",86.3491666666667
"Jim Knous",79.8234666666667
"Kenny Knox",96.5834333333333
"Russell Knox",54.0314666666667
"Gary Koch",96.4571333333334
"Satoshi Kodaira",53.3252
"Brooks Koepka",45.9743
"Jason Kokrak",30.7160666666667
"Greg Kraft",84.6437333333334
"Kelly Kraft",67.3794666666667
"Billy Kratzert",90.1619666666666
"Matt Kuchar",58.9622333333333
"Hank Kuehne",74.2617
"Anirban Lahiri",73.8797666666667
"Martin Laird",55.2094333333334
"Derek Lamely",65.5912
"Neal Lancaster",73.3474666666666
"Andrew Landry",62.8789666666666
"Bernhard Langer",56.9964
"Pablo Larrazabal",78.7459
"Nate Lashley",63.6787
"Hank Lebioda",54.2512333333334
"Nelson Ledesma",63.3100333333333
"Danny Lee",56.307
"Kyoung-Hoon Lee",46.5716333333333
"Lucas Lee",68.8292333333333
"Ian Leggatt",81.6173
"Tom Lehman",78.5160333333333
"Marc Leishman",51.4466333333333
"Justin Leonard",92.9159
"Wayne Levi",72.0371333333334
"Alexander Levy",56.2675333333333
"J.L. Lewis",89.7297
"Tom Lewis",59.9851333333333
"Haotong Li",45.5431
"Frank Lickliter II",70.6606666666667
"Nicholas Lindheim",65.8723666666666
"Pat Lindsey",74.4886666666667
"David Lingmerth",71.3610333333333
"Luke List",59.8092
"Gene Littler",93.2859
"Bob Lohr",91.1997
"Peter Lonard",74.1243666666667
"Adam Long",58.8637
"Lyn Lott",86.3007333333333
"Davis Love III",92.2630333333334
"Jamie Lovemark",74.5430333333333
"Steve Lowery",79.8269666666667
