"","x"
"José María Olazábal",91.4318787214549
"Thorbjørn Olesen",62.6519082904851
"Louis Oosthuizen",41.5785084010912
"Rob Oppenheim",66.583154935034
"Carlos Ortiz",49.1103664948931
"Adrian Otaegui",60.1934401415658
"Jeff Overton",88.5422437497023
"Ryan Palmer",36.6327302251402
"Rod Pampling",84.7278204189349
"Cheng Tsung Pan",57.688312201191
"Sung Joon Park",99.8681420933529
"Jesper Parnevik",120.465796019245
"Corey Pavin",110.080240157555
"Eddie Pepperell",63.3373438667287
"Cameron Percy",50.2892469240106
"Pat Perez",55.8241825417083
"Victor Perez",46.987793764173
"Tom Pernice Jr.",126.296570838184
"Kenny Perry",79.9339076859952
"Tim Petrovic",91.1973033966607
"Carl Pettersson",88.5796118595916
"Scott Piercy",69.9967452784014
"Thomas Pieters",51.7665560041928
"D.A. Points",79.5708638836239
"J.T. Poston",63.8712399559905
"Ted Potter, Jr.",63.7588829183259
"Ian Poulter",51.1421652359864
"Seamus Power",63.3327736801543
"Nick Price",114.362153422608
"Dicky Pride",90.6214682310646
"Ted Purdy",84.4392993489334
"Andrew Putnam",43.5668973781293
"Brett Quigley",99.9811016965516
"Alvaro Quiros",100.526487080739
"Jon Rahm",27.055421243456
"Richie Ramsay",77.2482811837071
"Chez Reavie",61.0928405652873
"Doc Redman",71.9615378169822
"Chris Riley",107.380285888952
"Wes Roach",64.3904608729893
"Robert Rock",116.243719009416
"Patrick Rodgers",56.2500889279445
"John Rollins",81.5080649866401
"Andres Romero",70.9743127765509
"Justin Rose",43.8882128590251
"Sam Ryder",50.5728017220186
"Rory Sabbatini",68.3023687864363
"Xander Schauffele",38.048340879439
"Scottie Scheffler",37.4111690766022
"Adam Schenk",58.473209392265
"Matthias Schwab",64.6750519052826
"Charl Schwartzel",62.3569109500437
"Adam Scott",37.1456496667137
"Chase Seiffert",54.4081057230837
"John Senden",83.7091710997342
"Shubhankar Sharma",59.6151300907217
"Robby Shelton",77.3223211105714
"Wes Short, Jr.",117.733617777791
"Marcel Siem",85.4448949349561
"Webb Simpson",42.5168441434235
"Jeev Milkha Singh",114.535098907081
"Vijay Singh",80.2041759883258
"Roger Sloan",51.8626534111559
"Heath Slocum",75.7852629888559
"Cameron Smith",40.5827858287252
"Chris Smith",86.9026834244983
"Brandt Snedeker",80.4330340777623
"Joey Snyder III",120.759988483034
"Young-han Song",81.620517873675
"Bob Sowards",127.1202135196
"J.J. Spaun",77.0412084147907
"Jordan Spieth",40.9377229093814
"Kevin Stadler",85.7062709579897
"Scott Stallings",63.2017614004635
"Paul Stankowski",106.454177276294
"Kyle Stanley",59.2211653926397
"Brendan Steele",38.482377953478
"Shawn Stefani",90.9174248002126
"Henrik Stenson",77.8349457126996
"Richard Sterne",68.0492067495833
"Brandon Stone",66.1397682013283
"Sepp Straka",57.703438586691
"Robert Streb",60.3526093423877
"Kevin Streelman",49.741704931002
"Steve Stricker",56.3498488109036
"Chris Stroud",71.3431634025615
"Brian Stuard",66.7063404614635
"Zack Sucher",72.6246408960222
"Andy Sullivan",69.0524610637947
"Daniel Summerhays",98.6260660896513
"Julian Suri",60.7531136947741
"Kevin Sutherland",102.065010297254
"Hudson Swafford",75.9072539137561
"Toru Taniguchi",120.780880475078
"Hideto Tanihara",79.256848841385
"Ben Taylor",68.852264005268
"Nick Taylor",48.5495239053365
"Vaughn Taylor",71.7978927121039
"Josh Teater",54.1106473699607
"Justin Thomas",33.1664870946229
"Chris Thompson",81.781545071309
"Michael Thompson",49.4995348657648
"Brendon Todd",48.3756354936294
"David Toms",76.9166950879184
"D.J. Trahan",64.7117048810609
"Martin Trainer",84.1612418265927
"Cameron Tringale",35.2753618108583
"Kirk Triplett",121.447354539627
"Marc Turnesa",86.3546420711249
"Kevin Tway",73.6871103338008
"Peter Uihlein",69.74523899591
"Omar Uresti",85.3954121303344
"Stan Utley",114.285100523956
"Bo Van Pelt",75.6692098390763
"Frederick van Rooyen",58.8775086966629
"Harold Varner III",48.3927571742585
"Jhonattan Vegas",45.1535413195846
"Kristoffer Ventura",66.7266858086746
"Scott Verplank",109.122816242875
"Camilo Villegas",60.2283823612552
"Johnson Wagner",73.6915836253279
"Duffy Waldorf",88.3817812904341
"Jimmy Walker",79.4852302432038
"Matt Wallace",54.3022227553733
"Marc Warren",83.7192691913053
"Nick Watney",80.6004516685012
"Bubba Watson",52.7066486759183
"Tom Watson",103.701658987775
"Boo Weekley",65.7618709137655
"Mike Weir",74.233849207788
"Richy Werenski",56.2350629988732
"Lee Westwood",59.1383693434578
"Brett Wetterich",106.51798734847
"Vincent Whaley",55.3496404761446
"Charlie Wi",68.713792909191
"Bernd Wiesberger",51.8837846927185
"Tim Wilkinson",63.0542663323727
"Danny Willett",63.0206723284546
"Lee Williams",106.928833554925
"Garrett Willis",124.500926486695
"Dean Wilson",120.852190665406
"Mark Wilson",85.8903943602539
"Aaron Wise",57.0257951895727
"Matthew Wolff",53.795033776397
"Chris Wood",78.0862050731179
"Gary Woodland",52.7693147044871
"Tiger Woods",51.8457213765937
"Ashun Wu",50.9922570315982
"Bobby Wyatt",97.4415450622106
"Y.E. Yang",78.3488329121692
"Will Zalatoris",31.0568600868482
"Fabrizio Zanotti",79.785781777629
"Xinjun Zhang",68.768422681575
